Data,Value
190001,black
208370,black
215855,black
858088,black
209753,black
203493,black
208374,black
207754,black
188581,black
190264,black
183377,black
186030,black
178475,black
2028,white
2061,white
2091,white
2047,white
2081,white
2067,white
2052,white
0,white
0,white
0,white
0,white
0,white
0,white
639,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
2117,white
2117,white
2092,white
2047,white
2141,white
2035,white
2053,white
2049,white
2065,white
2078,white
2050,white
2074,white
2068,white
2050,white
2092,white
2071,white
2091,white
2113,white
2054,white
2064,white
2035,white
2062,white
2065,white
2056,white
2052,white
2024,white
2047,white
2035,white
2021,white
2082,white
2069,white
2045,white
2076,white
2005,white
2070,white
2066,white
2057,white
2101,white
2060,white
2083,white
2090,white
2015,white
2083,white
2191,white
2461,white
2982,white
3686,white
2197,white
2059,white
2108,white
2153,white
2182,white
2142,white
2139,white
2195,white
2113,white
2130,white
2112,white
2134,white
2135,white
2164,white
2134,white
2089,white
2161,white
2101,white
2151,white
2116,white
2126,white
2080,white
2093,white
2068,white
2083,white
2156,white
2120,white
2136,white
2150,white
2115,white
2160,white
2116,white
2147,white
2086,white
2144,white
2092,white
2097,white
2131,white
2083,white
2117,white
2082,white
2093,white
2111,white
2068,white
2050,white
2096,white
1989,white
2109,white
2074,white
2068,white
2016,white
2074,white
2091,white
2028,white
2068,white
2076,white
2058,white
2063,white
2056,white
2031,white
2036,white
2090,white
2055,white
2121,white
2070,white
2080,white
2018,white
2080,white
2041,white
2078,white
2114,white
2095,white
2105,white
0,white
0,white
0,white
962,white
0,white
0,white
0,white
0,white
0,white
0,white
669,white
0,white
0,white
0,white
352,white
0,white
0,white
0,white
0,white
0,white
0,white
2103,white
2150,white
2089,white
2091,white
2035,white
2136,white
2096,white
2053,white
2139,white
1928,white
2029,white
2066,white
2065,white
2447,yellow
2488,yellow
2452,yellow
2357,yellow
2495,yellow
2425,yellow
2401,yellow
2405,yellow
2416,yellow
2405,yellow
2394,yellow
2387,yellow
2418,yellow
2393,yellow
2248,yellow
2350,yellow
2363,yellow
2377,yellow
2300,yellow
2353,yellow
2301,yellow
2344,yellow
2365,yellow
2354,yellow
2326,yellow
2298,yellow
2328,yellow
2345,yellow
2305,yellow
2305,yellow
2286,yellow
2328,yellow
2335,yellow
2321,yellow
2304,yellow
2307,yellow
2336,yellow
2299,yellow
2308,yellow
2259,yellow
2255,yellow
2295,yellow
2317,yellow
2300,yellow
2266,yellow
2301,yellow
2351,yellow
2309,yellow
2282,yellow
2264,yellow
2290,yellow
2286,yellow
2020,yellow
2279,yellow
2319,yellow
2302,yellow
2324,yellow
2317,yellow
2309,yellow
2306,yellow
2318,yellow
2155,yellow
2357,yellow
2369,yellow
2364,yellow
2314,yellow
2204,yellow
2326,yellow
2359,yellow
2262,yellow
2325,yellow
2362,yellow
2318,yellow
2291,yellow
2242,yellow
2265,yellow
2238,yellow
2352,yellow
2328,yellow
2264,yellow
2281,yellow
2250,yellow
2273,yellow
2336,yellow
2195,yellow
2312,yellow
2303,yellow
2323,yellow
2308,yellow
2291,yellow
2303,yellow
2305,yellow
2274,yellow
2137,yellow
2191,yellow
2200,yellow
2288,yellow
2259,yellow
2280,yellow
2297,yellow
2278,yellow
2312,yellow
2269,yellow
2265,yellow
2278,yellow
2276,yellow
2290,yellow
2253,yellow
2246,yellow
2281,yellow
2231,yellow
2261,yellow
2235,yellow
2230,yellow
2275,yellow
2164,yellow
2243,yellow
2262,yellow
2194,yellow
2247,yellow
3143,red
3179,red
3048,red
3135,red
3166,red
3147,red
3042,red
3020,red
3067,red
3093,red
3007,red
2701,red
2787,red
3019,red
2981,red
2985,red
2784,red
2666,red
2538,red
2756,red
2941,red
2977,red
3025,red
2946,red
2985,red
3083,red
3009,red
3043,red
3002,red
2974,red
3052,red
3004,red
2946,red
2871,red
3008,red
3054,red
2911,red
2971,red
3042,red
3037,red
3062,red
2974,red
3063,red
2997,red
3007,red
3100,red
2978,red
3000,red
2801,red
3120,red
3128,red
3101,red
3130,red
3047,red
3033,red
2978,red
3042,red
2973,red
3018,red
2769,red
3025,red
3026,red
2985,red
2851,red
2980,red
2989,red
3020,red
3019,red
2886,red
3015,red
2987,red
2953,red
3068,red
3034,red
2979,red
2944,red
2985,red
3011,red
2858,red
3002,red
2983,red
3051,red
3032,red
3009,red
3076,red
3016,red
2858,red
2903,red
2980,red
2948,red
2949,red
3089,red
3036,red
3054,red
3017,red
3009,red
2991,red
3044,red
3009,red
2930,red
3031,red
2967,red
2815,red
2905,red
2887,red
3017,red
2785,red
3002,red
2961,red
2955,red
3018,red
2849,red
3046,red
2997,red
3033,red
3051,red
3021,red
3001,red
15215,blue
15833,blue
15585,blue
15729,blue
15006,blue
15290,blue
15071,blue
14972,blue
14995,blue
14724,blue
14928,blue
14811,blue
15189,blue
14539,blue
14567,blue
14756,blue
14841,blue
14852,blue
14081,blue
14968,blue
14452,blue
12848,blue
14106,blue
13641,blue
14949,blue
14754,blue
14726,blue
14693,blue
14916,blue
14483,blue
14782,blue
14418,blue
14672,blue
14394,blue
13645,blue
12657,blue
13171,blue
12771,blue
15277,blue
14393,blue
13324,blue
13820,blue
14346,blue
13968,blue
14589,blue
13902,blue
14405,blue
13970,blue
14077,blue
13967,blue
13419,blue
13640,blue
13810,blue
14013,blue
14356,blue
13665,blue
13804,blue
13973,blue
14246,blue
14248,blue
14007,blue
14348,blue
14199,blue
14438,blue
13917,blue
14203,blue
13454,blue
13809,blue
14206,blue
14039,blue
13935,blue
13756,blue
13324,blue
13598,blue
13517,blue
13970,blue
13687,blue
13888,blue
13744,blue
13703,blue
13914,blue
13616,blue
13815,blue
13693,blue
12955,blue
13986,blue
13401,blue
13275,blue
13603,blue
14231,blue
14073,blue
14002,blue
13974,blue
14155,blue
14056,blue
14059,blue
13500,blue
14656,blue
14588,blue
14237,blue
14511,blue
14626,blue
14501,blue
14626,blue
14405,blue
14551,blue
14392,blue
14392,blue
14392,blue
14284,blue
14325,blue
14528,blue
14349,blue
14463,blue
14276,blue
14223,blue
14373,blue
14106,blue
13715,blue
12880,blue
13820,blue
13929,blue
13964,blue
13975,blue
14076,blue
13165,blue
13905,blue
13531,blue
14246,blue
14070,blue
13974,blue
14128,blue
14152,blue
14080,blue
14092,blue
14138,blue
14021,blue
14239,blue
13979,blue
14262,blue
14105,blue
14236,blue
13557,blue
13687,blue
13879,blue
13935,blue
13877,blue
13901,blue
12663,blue
